gen,block,line,level,disp,sex,measurement
3,1,2,low,0,f,13
3,1,2,low,0,m,17
3,1,3,high,3,f,15
3,1,3,high,3,m,15
3,1,3,low,0,f,11
3,1,3,low,0,m,19
3,1,4,high,3,f,12
3,1,4,high,3,m,18
3,1,4,low,0,f,17
3,1,4,low,0,m,13
3,1,5,high,3,f,14
3,1,5,high,3,m,16
3,1,5,low,0,f,15
3,1,5,low,0,m,15
3,1,6,high,3,f,15
3,1,6,high,3,m,15
3,1,6,low,0,f,18
3,1,6,low,0,m,12
3,1,7,high,3,f,13
3,1,7,high,3,m,17
3,1,7,low,0,f,17
3,1,7,low,0,m,13
3,1,8,high,3,f,20
3,1,8,high,3,m,10
3,1,8,low,0,f,13
3,1,8,low,0,m,17
3,2,9,high,3,f,16
3,2,9,high,3,m,14
3,2,9,low,0,f,20
3,2,9,low,0,m,10
3,2,10,high,3,f,10
3,2,10,high,3,m,20
3,2,10,low,0,f,11
3,2,10,low,0,m,19
3,2,11,high,3,f,13
3,2,11,high,3,m,17
3,2,11,low,0,f,15
3,2,11,low,0,m,15
3,2,12,high,3,f,18
3,2,12,high,3,m,12
3,2,12,low,0,f,16
3,2,12,low,0,m,14
3,2,13,high,3,f,18
3,2,13,high,3,m,12
3,2,13,low,0,f,17
3,2,13,low,0,m,13
3,2,14,high,3,f,16
3,2,14,high,3,m,14
3,2,14,low,0,f,11
3,2,14,low,0,m,19
3,2,15,high,3,f,17
3,2,15,high,3,m,13
3,2,15,low,0,f,16
3,2,15,low,0,m,14
3,2,16,high,3,f,16
3,2,16,high,3,m,14
3,2,16,low,0,f,20
3,2,16,low,0,m,10
4,1,1,high,3,f,18
4,1,1,high,3,m,12
4,1,1,low,0,f,17
4,1,1,low,0,m,13
4,1,2,high,3,f,15
4,1,2,high,3,m,15
4,1,2,low,0,f,18
4,1,2,low,0,m,12
4,1,3,high,3,f,16
4,1,3,high,3,m,14
4,1,3,low,0,f,16
4,1,3,low,0,m,13
4,1,4,high,3,f,15
4,1,4,high,3,m,15
4,1,4,low,0,f,14
4,1,4,low,0,m,15
4,1,5,high,3,f,10
4,1,5,high,3,m,20
4,1,5,low,0,f,14
4,1,5,low,0,m,16
4,1,6,high,3,f,18
4,1,6,high,3,m,12
4,1,6,low,0,f,17
4,1,6,low,0,m,11
4,1,7,high,3,f,18
4,1,7,high,3,m,12
4,1,7,low,0,f,13
4,1,7,low,0,m,17
4,1,8,high,3,f,18
4,1,8,high,3,m,12
4,1,8,low,0,f,16
4,1,8,low,0,m,13
4,2,9,high,3,f,15
4,2,9,high,3,m,15
4,2,9,low,0,f,20
4,2,9,low,0,m,10
4,2,10,high,3,f,11
4,2,10,high,3,m,19
4,2,10,low,0,f,15
4,2,10,low,0,m,15
4,2,11,high,3,f,18
4,2,11,high,3,m,12
