gen,block,line,level,day,patch,no_dispersals,value
1,1,2,high,2,a,0,94
1,1,2,high,2,b,1,106
1,1,2,high,3,a,0,40
1,1,2,high,3,a,1,20
1,1,2,high,3,b,1,53
1,1,2,high,3,b,2,87
1,1,2,high,4,a,0,17
1,1,2,high,4,a,2,13
1,1,2,high,4,b,1,19
1,1,2,high,4,b,2,53
1,1,2,high,4,b,3,75
1,1,2,low,2,a,0,185
1,1,2,low,2,b,1,15
1,1,2,low,3,a,0,82
1,1,2,low,3,a,1,2
1,1,2,low,3,b,1,103
1,1,2,low,3,b,2,13
1,1,2,low,4,a,0,53
1,1,2,low,4,a,1,40
1,1,2,low,4,a,2,2
1,1,2,low,4,b,1,31
1,1,2,low,4,b,2,64
1,1,2,low,4,b,3,11
1,1,3,high,2,a,0,94
1,1,3,high,2,b,1,106
1,1,3,high,3,a,0,44
1,1,3,high,3,a,1,8
1,1,3,high,3,b,1,41
1,1,3,high,3,b,2,105
1,1,3,high,4,a,0,14
1,1,3,high,4,a,1,16
1,1,3,high,4,a,2,4
1,1,3,high,4,b,1,25
1,1,3,high,4,b,2,39
1,1,3,high,4,b,3,99
1,1,3,low,2,a,0,170
1,1,3,low,2,b,1,30
1,1,3,low,3,a,0,84
1,1,3,low,3,a,1,2
1,1,3,low,3,b,1,86
1,1,3,low,3,b,2,28
1,1,3,low,4,a,0,39
1,1,3,low,4,a,1,17
1,1,3,low,4,a,2,0
1,1,3,low,4,b,1,48
1,1,3,low,4,b,2,69
1,1,3,low,4,b,3,27
1,1,4,high,2,a,0,79
1,1,4,high,2,b,1,121
1,1,4,high,3,a,0,38
1,1,4,high,3,a,1,8
1,1,4,high,3,b,1,41
1,1,4,high,3,b,2,112
1,1,4,high,4,a,0,9
1,1,4,high,4,a,1,12
1,1,4,high,4,a,2,6
1,1,4,high,4,b,1,28
1,1,4,high,4,b,2,38
1,1,4,high,4,b,3,105
1,1,4,low,2,a,0,182
1,1,4,low,2,b,1,18
1,1,4,low,3,a,0,63
1,1,4,low,3,a,1,1
1,1,4,low,3,b,1,117
1,1,4,low,3,b,2,17
1,1,4,low,4,a,0,22
1,1,4,low,4,a,1,19
1,1,4,low,4,a,2,0
1,1,4,low,4,b,1,40
1,1,4,low,4,b,2,98
1,1,4,low,4,b,3,17
1,1,5,high,2,a,0,117
1,1,5,high,2,b,1,83
1,1,5,high,3,a,0,55
1,1,5,high,3,a,1,4
1,1,5,high,3,b,1,58
1,1,5,high,3,b,2,83
1,1,5,high,4,a,0,23
1,1,5,high,4,a,1,13
1,1,5,high,4,a,2,7
1,1,5,high,4,b,1,28
1,1,5,high,4,b,2,49
1,1,5,high,4,b,3,80
1,1,5,low,2,a,0,136
1,1,5,low,2,b,1,64
1,1,5,low,3,a,0,92
1,1,5,low,3,a,1,10
1,1,5,low,3,b,1,45
1,1,5,low,3,b,2,53
1,1,5,low,4,a,0,61
1,1,5,low,4,a,1,21
1,1,5,low,4,a,2,7
1,1,5,low,4,b,1,31
1,1,5,low,4,b,2,36
1,1,5,low,4,b,3,43
1,1,6,high,2,a,0,94
1,1,6,high,2,b,1,106
1,1,6,high,3,a,0,33
1,1,6,high,3,a,1,30
1,1,6,high,3,b,1,54
1,1,6,high,3,b,2,83
1,1,6,high,4,a,0,11
1,1,6,high,4,a,1,23
1,1,6,high,4,a,2,12
1,1,6,high,4,b,1,20
1,1,6,high,4,b,2,61
1,1,6,high,4,b,3,73
1,1,6,low,2,a,0,149
1,1,6,low,2,b,1,51
1,1,6,low,3,a,0,74
1,1,6,low,3,a,1,6
1,1,6,low,3,b,1,76
1,1,6,low,3,b,2,44
1,1,6,low,4,a,0,47
1,1,6,low,4,a,1,20
1,1,6,low,4,a,2,11
1,1,6,low,4,b,1,29
1,1,6,low,4,b,2,59
1,1,6,low,4,b,3,33
1,1,7,high,2,a,0,90
1,1,7,high,2,b,1,110
1,1,7,high,3,a,0,44
1,1,7,high,3,a,1,16
1,1,7,high,3,b,1,39
1,1,7,high,3,b,2,101
1,1,7,high,4,a,0,15
1,1,7,high,4,a,1,17
1,1,7,high,4,a,2,9
1,1,7,high,4,b,1,26
1,1,7,high,4,b,2,41
1,1,7,high,4,b,3,91
1,1,7,low,2,a,0,150
1,1,7,low,2,b,1,50
1,1,7,low,3,a,0,82
1,1,7,low,3,a,1,7
1,1,7,low,3,b,1,68
1,1,7,low,3,b,2,43
1,1,7,low,4,a,0,36
1,1,7,low,4,a,1,20
