gen,block,line,level,day,patch,no_dispersals,value
2,1,5,high,2,b,1,80
2,1,5,high,3,a,0,62
2,1,5,high,3,a,1,10
2,1,5,high,3,b,1,58
2,1,5,high,3,b,2,70
2,1,5,high,4,a,0,22
2,1,5,high,4,a,1,14
2,1,5,high,4,a,2,3
2,1,5,high,4,b,1,39
2,1,5,high,4,b,2,54
2,1,5,high,4,b,3,67
2,1,5,low,2,a,0,190
2,1,5,low,2,b,1,10
2,1,5,low,3,a,0,130
2,1,5,low,3,a,1,4
2,1,5,low,3,b,1,60
2,1,5,low,3,b,2,6
2,1,5,low,4,a,0,79
2,1,5,low,4,a,1,34
2,1,5,low,4,a,2,4
2,1,5,low,4,b,1,51
2,1,5,low,4,b,2,29
2,1,5,low,4,b,3,2
2,1,6,high,2,a,0,131
2,1,6,high,2,b,1,69
2,1,6,high,3,a,0,86
2,1,6,high,3,a,1,10
2,1,6,high,3,b,1,45
2,1,6,high,3,b,2,59
2,1,6,high,4,a,0,29
2,1,6,high,4,a,1,6
2,1,6,high,4,a,2,2
2,1,6,high,4,b,1,53
2,1,6,high,4,b,2,51
2,1,6,high,4,b,3,58
2,1,6,low,2,a,0,157
2,1,6,low,2,b,1,43
2,1,6,low,3,a,0,105
2,1,6,low,3,a,1,17
2,1,6,low,3,b,1,52
2,1,6,low,3,b,2,26
2,1,6,low,4,a,0,83
2,1,6,low,4,a,1,51
2,1,6,low,4,a,2,5
2,1,6,low,4,b,1,22
2,1,6,low,4,b,2,17
2,1,6,low,4,b,3,21
2,1,7,high,2,a,0,142
2,1,7,high,2,b,1,58
2,1,7,high,3,a,0,71
2,1,7,high,3,a,1,10
2,1,7,high,3,b,1,71
2,1,7,high,3,b,2,48
2,1,7,high,4,a,0,23
2,1,7,high,4,a,1,17
2,1,7,high,4,a,2,5
2,1,7,high,4,b,1,45
2,1,7,high,4,b,2,66
2,1,7,high,4,b,3,42
2,1,7,low,2,a,0,189
2,1,7,low,2,b,1,11
2,1,7,low,3,a,0,114
2,1,7,low,3,a,1,0
2,1,7,low,3,b,1,75
2,1,7,low,3,b,2,11
2,1,7,low,4,a,0,76
2,1,7,low,4,a,1,33
2,1,7,low,4,a,2,2
2,1,7,low,4,b,1,38
2,1,7,low,4,b,2,42
2,1,7,low,4,b,3,9
2,1,8,high,2,a,0,105
2,1,8,high,2,b,1,95
2,1,8,high,3,a,0,42
2,1,8,high,3,a,1,16
2,1,8,high,3,b,1,63
2,1,8,high,3,b,2,79
2,1,8,high,4,a,0,14
2,1,8,high,4,a,1,11
2,1,8,high,4,a,2,2
2,1,8,high,4,b,1,28
2,1,8,high,4,b,2,67
2,1,8,high,4,b,3,78
2,1,8,low,2,a,0,185
2,1,8,low,2,b,1,15
2,1,8,low,3,a,0,130
2,1,8,low,3,a,1,7
2,1,8,low,3,b,1,55
2,1,8,low,3,b,2,8
2,1,8,low,4,a,0,77
2,1,8,low,4,a,1,22
2,1,8,low,4,a,2,1
2,1,8,low,4,b,1,52
2,1,8,low,4,b,2,40
2,1,8,low,4,b,3,7
2,2,9,high,2,a,0,131
2,2,9,high,2,b,1,69
2,2,9,high,3,a,0,27
2,2,9,high,3,a,1,4
2,2,9,high,3,b,1,104
2,2,9,high,3,b,2,65
2,2,9,high,4,a,0,9
2,2,9,high,4,a,1,18
2,2,9,high,4,a,2,3
2,2,9,high,4,b,1,18
2,2,9,high,4,b,2,91
2,2,9,high,4,b,3,61
2,2,9,low,2,a,0,196
2,2,9,low,2,b,1,4
2,2,9,low,3,a,0,155
2,2,9,low,3,a,1,1
2,2,9,low,3,b,1,41
2,2,9,low,3,b,2,3
2,2,9,low,4,a,0,92
2,2,9,low,4,a,1,21
2,2,9,low,4,a,2,0
2,2,9,low,4,b,1,63
2,2,9,low,4,b,2,21
2,2,9,low,4,b,3,3
2,2,10,high,2,a,0,105
2,2,10,high,2,b,1,95
2,2,10,high,3,a,0,45
2,2,10,high,3,a,1,18
2,2,10,high,3,b,1,59
2,2,10,high,3,b,2,77
2,2,10,high,4,a,0,14
2,2,10,high,4,a,1,11
2,2,10,high,4,a,2,9
2,2,10,high,4,b,1,36
2,2,10,high,4,b,2,61
2,2,10,high,4,b,3,68
2,2,10,low,2,a,0,200
2,2,10,low,2,b,1,0
2,2,10,low,3,a,0,171
2,2,10,low,3,a,1,0
2,2,10,low,3,b,1,29
2,2,10,low,3,b,2,0
2,2,10,low,4,a,0,128
2,2,10,low,4,a,1,20
2,2,10,low,4,a,2,0
2,2,10,low,4,b,1,43
2,2,10,low,4,b,2,9
2,2,10,low,4,b,3,0
2,2,11,high,2,a,0,157
2,2,11,high,2,b,1,43
2,2,11,high,3,a,0,63
2,2,11,high,3,a,1,5
2,2,11,high,3,b,1,93
2,2,11,high,3,b,2,38
2,2,11,high,4,a,0,9
2,2,11,high,4,a,1,14
2,2,11,high,4,a,2,2
2,2,11,high,4,b,1,55
2,2,11,high,4,b,2,82
2,2,11,high,4,b,3,36
2,2,11,low,2,a,0,198
2,2,11,low,2,b,1,2
2,2,11,low,3,a,0,182
2,2,11,low,3,a,1,2
2,2,11,low,3,b,1,16
2,2,11,low,3,b,2,0
2,2,11,low,4,a,0,133
2,2,11,low,4,a,1,13
2,2,11,low,4,a,2,0
2,2,11,low,4,b,1,49
2,2,11,low,4,b,2,5
2,2,11,low,4,b,3,0
2,2,12,high,2,a,0,102
2,2,12,high,2,b,1,98
2,2,12,high,3,a,0,44
2,2,12,high,3,a,1,16
2,2,12,high,3,b,1,58
2,2,12,high,3,b,2,82
2,2,12,high,4,a,0,13
2,2,12,high,4,a,1,15
2,2,12,high,4,a,2,6
2,2,12,high,4,b,1,31
2,2,12,high,4,b,2,59
2,2,12,high,4,b,3,76
2,2,12,low,2,a,0,193
2,2,12,low,2,b,1,7
2,2,12,low,3,a,0,136
2,2,12,low,3,a,1,0
2,2,12,low,3,b,1,57
2,2,12,low,3,b,2,7
2,2,12,low,4,a,0,60
2,2,12,low,4,a,1,14
2,2,12,low,4,a,2,0
2,2,12,low,4,b,1,77
2,2,12,low,4,b,2,42
2,2,12,low,4,b,3,7
2,2,13,high,2,a,0,131
2,2,13,high,2,b,1,69
2,2,13,high,3,a,0,40
2,2,13,high,3,a,1,5
2,2,13,high,3,b,1,91
2,2,13,high,3,b,2,64
2,2,13,high,4,a,0,11
2,2,13,high,4,a,1,17
2,2,13,high,4,a,2,4
2,2,13,high,4,b,1,29
2,2,13,high,4,b,2,79
2,2,13,high,4,b,3,59
2,2,13,low,2,a,0,190
2,2,13,low,2,b,1,10
2,2,13,low,3,a,0,159
2,2,13,low,3,a,1,2
2,2,13,low,3,b,1,31
2,2,13,low,3,b,2,8
2,2,13,low,4,a,0,122
2,2,13,low,4,a,1,16
2,2,13,low,4,a,2,3
2,2,13,low,4,b,1,37
2,2,13,low,4,b,2,17
2,2,13,low,4,b,3,5
2,2,14,high,2,a,0,132
2,2,14,high,2,b,1,68
2,2,14,high,3,a,0,54
2,2,14,high,3,a,1,8
2,2,14,high,3,b,1,78
2,2,14,high,3,b,2,60
2,2,14,high,4,a,0,19
2,2,14,high,4,a,1,26
2,2,14,high,4,a,2,6
2,2,14,high,4,b,1,34
2,2,14,high,4,b,2,61
2,2,14,high,4,b,3,53
2,2,14,low,2,a,0,190
2,2,14,low,2,b,1,10
2,2,14,low,3,a,0,48
2,2,14,low,3,a,1,4
2,2,14,low,3,b,1,42
2,2,14,low,3,b,2,6
2,2,14,low,4,a,0,109
2,2,14,low,4,a,1,25
2,2,14,low,4,a,2,1
2,2,14,low,4,b,1,39
2,2,14,low,4,b,2,21
2,2,14,low,4,b,3,5
2,2,15,high,2,a,0,47
2,2,15,high,2,b,1,153
2,2,15,high,3,a,0,22
2,2,15,high,3,a,1,12
2,2,15,high,3,b,1,25
2,2,15,high,3,b,2,141
2,2,15,high,4,a,0,9
2,2,15,high,4,a,1,8
2,2,15,high,4,a,2,6
2,2,15,high,4,b,1,12
2,2,15,high,4,b,2,30
2,2,15,high,4,b,3,136
2,2,15,low,2,a,0,189
2,2,15,low,2,b,1,11
2,2,15,low,3,a,0,115
2,2,15,low,3,a,1,5
2,2,15,low,3,b,1,74
2,2,15,low,3,b,2,6
2,2,15,low,4,a,0,51
2,2,15,low,4,a,1,31
2,2,15,low,4,a,2,1
2,2,15,low,4,b,1,64
2,2,15,low,4,b,2,48
2,2,15,low,4,b,3,5
2,2,16,high,2,a,0,124
2,2,16,high,2,b,1,76
2,2,16,high,3,a,0,35
2,2,16,high,3,a,1,4
2,2,16,high,3,b,1,78
2,2,16,high,3,b,2,72
2,2,16,high,4,a,0,10
2,2,16,high,4,a,1,16
2,2,16,high,4,a,2,6
2,2,16,high,4,b,1,26
2,2,16,high,4,b,2,77
2,2,16,high,4,b,3,66
2,2,16,low,2,a,0,199
2,2,16,low,2,b,1,1
2,2,16,low,3,a,0,146
2,2,16,low,3,a,1,0
2,2,16,low,3,b,1,53
2,2,16,low,3,b,2,1
2,2,16,low,4,a,0,93
2,2,16,low,4,a,1,23
2,2,16,low,4,a,2,0
2,2,16,low,4,b,1,53
2,2,16,low,4,b,2,29
2,2,16,low,4,b,3,1
3,1,1,high,2,a,0,65
3,1,1,high,2,b,1,135
3,1,1,high,3,a,0,33
3,1,1,high,3,a,1,7
3,1,1,high,3,b,1,29
3,1,1,high,3,b,2,130
3,1,1,high,4,a,0,18
3,1,1,high,4,a,1,16
3,1,1,high,4,a,2,13
3,1,1,high,4,b,1,14
3,1,1,high,4,b,2,22
3,1,1,high,4,b,3,117
3,1,1,low,2,a,0,165
3,1,1,low,2,b,1,35
3,1,1,low,3,a,0,143
3,1,1,low,3,a,1,15
3,1,1,low,3,b,1,22
3,1,1,low,3,b,2,20
3,1,1,low,4,a,0,120
3,1,1,low,4,a,1,23
3,1,1,low,4,a,2,6
3,1,1,low,4,b,1,23
3,1,1,low,4,b,2,13
3,1,1,low,4,b,3,13
3,1,2,high,2,a,0,53
3,1,2,high,2,b,1,147
3,1,2,high,3,a,0,10
3,1,2,high,3,a,1,10
3,1,2,high,3,b,1,43
3,1,2,high,3,b,2,137
3,1,2,high,4,a,0,4
3,1,2,high,4,a,1,15
3,1,2,high,4,a,2,10
3,1,2,high,4,b,1,6
3,1,2,high,4,b,2,38
3,1,2,high,4,b,3,126
3,1,2,low,2,a,0,182
3,1,2,low,2,b,1,18
3,1,2,low,3,a,0,122
3,1,2,low,3,a,1,4
3,1,2,low,3,b,1,59
3,1,2,low,3,b,2,14
3,1,2,low,4,a,0,70
3,1,2,low,4,a,1,37
3,1,2,low,4,a,2,4
3,1,2,low,4,b,1,52
3,1,2,low,4,b,2,26
3,1,2,low,4,b,3,10
3,1,3,high,2,a,0,41
3,1,3,high,2,b,1,159
3,1,3,high,3,a,0,23
3,1,3,high,3,a,1,11
3,1,3,high,3,b,1,18
3,1,3,high,3,b,2,147
3,1,3,high,4,a,0,10
3,1,3,high,4,a,1,12
3,1,3,high,4,a,2,12
3,1,3,high,4,b,1,12
3,1,3,high,4,b,2,17
3,1,3,high,4,b,3,135
3,1,3,low,2,a,0,98
3,1,3,low,2,b,1,8
3,1,3,low,3,a,0,150
3,1,3,low,3,a,1,4
3,1,3,low,3,b,1,41
3,1,3,low,3,b,2,5
3,1,3,low,4,a,0,97
3,1,3,low,4,a,1,27
3,1,3,low,4,a,2,2
3,1,3,low,4,b,1,54
3,1,3,low,4,b,2,17
3,1,3,low,4,b,3,3
3,1,4,high,2,a,0,67
3,1,4,high,2,b,1,133
3,1,4,high,3,a,0,23
3,1,4,high,3,a,1,18
3,1,4,high,3,b,1,44
3,1,4,high,3,b,2,115
3,1,4,high,4,a,0,5
3,1,4,high,4,a,1,15
3,1,4,high,4,a,2,7
3,1,4,high,4,b,1,18
3,1,4,high,4,b,2,43
3,1,4,high,4,b,3,112
3,1,4,low,2,a,0,166
3,1,4,low,2,b,1,33
3,1,4,low,3,a,0,129
3,1,4,low,3,a,1,14
3,1,4,low,3,b,1,37
3,1,4,low,3,b,2,20
3,1,4,low,4,a,0,76
3,1,4,low,4,a,1,18
3,1,4,low,4,a,2,3
3,1,4,low,4,b,1,53
3,1,4,low,4,b,2,32
3,1,4,low,4,b,3,17
3,1,5,high,2,a,0,52
3,1,5,high,2,b,1,148
3,1,5,high,3,a,0,24
3,1,5,high,3,a,1,14
3,1,5,high,3,b,1,28
3,1,5,high,3,b,2,134
3,1,5,high,4,a,0,9
3,1,5,high,4,a,1,10
3,1,5,high,4,a,2,5
3,1,5,high,4,b,1,14
3,1,5,high,4,b,2,31
3,1,5,high,4,b,3,131
3,1,5,low,2,a,0,170
3,1,5,low,2,b,1,30
3,1,5,low,3,a,0,102
3,1,5,low,3,a,1,15
3,1,5,low,3,b,1,67
3,1,5,low,3,b,2,15
3,1,5,low,4,a,0,72
3,1,5,low,4,a,1,36
3,1,5,low,4,a,2,7
3,1,5,low,4,b,1,32
3,1,5,low,4,b,2,42
3,1,5,low,4,b,3,10
3,1,6,high,2,a,0,61
3,1,6,high,2,b,1,139
3,1,6,high,3,a,0,24
3,1,6,high,3,a,1,12
3,1,6,high,3,b,1,37
3,1,6,high,3,b,2,131
3,1,6,high,4,a,0,6
3,1,6,high,4,a,1,10
3,1,6,high,4,a,2,3
3,1,6,high,4,b,1,18
3,1,6,high,4,b,2,37
3,1,6,high,4,b,3,126
3,1,6,low,2,a,0,173
3,1,6,low,2,b,1,27
3,1,6,low,3,a,0,143
3,1,6,low,3,a,1,17
3,1,6,low,3,b,1,30
3,1,6,low,3,b,2,10
3,1,6,low,4,a,0,109
3,1,6,low,4,a,1,31
3,1,6,low,4,a,2,1
3,1,6,low,4,b,1,34
3,1,6,low,4,b,2,15
3,1,6,low,4,b,3,9
3,1,7,high,2,a,0,64
3,1,7,high,2,b,1,136
3,1,7,high,3,a,0,41
3,1,7,high,3,a,1,13
3,1,7,high,3,b,1,23
3,1,7,high,3,b,2,123
3,1,7,high,4,a,0,19
3,1,7,high,4,a,1,12
3,1,7,high,4,a,2,6
3,1,7,high,4,b,1,22
3,1,7,high,4,b,2,22
3,1,7,high,4,b,3,119
3,1,7,low,2,a,0,173
3,1,7,low,2,b,1,27
3,1,7,low,3,a,0,137
3,1,7,low,3,a,1,14
3,1,7,low,3,b,1,36
3,1,7,low,3,b,2,13
3,1,7,low,4,a,0,97
3,1,7,low,4,a,1,27
3,1,7,low,4,a,2,1
3,1,7,low,4,b,1,47
3,1,7,low,4,b,2,17
3,1,7,low,4,b,3,11
3,1,8,high,2,a,0,19
3,1,8,high,2,b,1,179
3,1,8,high,3,a,0,12
3,1,8,high,3,a,1,38
3,1,8,high,3,b,1,7
3,1,8,high,3,b,2,143
3,1,8,high,4,a,0,8
3,1,8,high,4,a,1,22
3,1,8,high,4,a,2,20
3,1,8,high,4,b,1,3
3,1,8,high,4,b,2,20
3,1,8,high,4,b,3,123
3,1,8,low,2,a,0,181
3,1,8,low,2,b,1,19
3,1,8,low,3,a,0,132
3,1,8,low,3,a,1,8
3,1,8,low,3,b,1,49
3,1,8,low,3,b,2,11
3,1,8,low,4,a,0,109
3,1,8,low,4,a,1,33
3,1,8,low,4,a,2,5
3,1,8,low,4,b,1,33
3,1,8,low,4,b,2,18
3,1,8,low,4,b,3,2
3,2,9,high,2,a,0,47
3,2,9,high,2,b,1,153
3,2,9,high,3,a,0,36
3,2,9,high,3,a,1,24
3,2,9,high,3,b,1,11
3,2,9,high,3,b,2,129
3,2,9,high,4,a,0,19
3,2,9,high,4,a,1,22
3,2,9,high,4,a,2,17
3,2,9,high,4,b,1,15
3,2,9,high,4,b,2,15
3,2,9,high,4,b,3,112
3,2,9,low,2,a,0,182
3,2,9,low,2,b,1,18
3,2,9,low,3,a,0,154
3,2,9,low,3,a,1,4
3,2,9,low,3,b,1,28
3,2,9,low,3,b,2,14
3,2,9,low,4,a,0,98
3,2,9,low,4,a,1,10
3,2,9,low,4,a,2,3
3,2,9,low,4,b,1,56
3,2,9,low,4,b,2,22
3,2,9,low,4,b,3,11
3,2,10,high,2,a,0,54
3,2,10,high,2,b,1,146
3,2,10,high,3,a,0,37
3,2,10,high,3,a,1,11
3,2,10,high,3,b,1,17
3,2,10,high,3,b,2,135
3,2,10,high,4,a,0,16
3,2,10,high,4,a,1,11
3,2,10,high,4,a,2,7
3,2,10,high,4,b,1,21
3,2,10,high,4,b,2,17
3,2,10,high,4,b,3,128
3,2,10,low,2,a,0,196
3,2,10,low,2,b,1,4
3,2,10,low,3,a,0,162
3,2,10,low,3,a,1,4
3,2,10,low,3,b,1,34
3,2,10,low,3,b,2,0
3,2,10,low,4,a,0,102
3,2,10,low,4,a,1,19
3,2,10,low,4,a,2,0
3,2,10,low,4,b,1,60
3,2,10,low,4,b,2,19
3,2,10,low,4,b,3,0
3,2,11,high,2,a,0,75
3,2,11,high,2,b,1,125
3,2,11,high,3,a,0,49
3,2,11,high,3,a,1,18
3,2,11,high,3,b,1,26
3,2,11,high,3,b,2,107
3,2,11,high,4,a,0,26
3,2,11,high,4,a,1,15
3,2,11,high,4,a,2,15
3,2,11,high,4,b,1,23
3,2,11,high,4,b,2,29
3,2,11,high,4,b,3,92
3,2,11,low,2,a,0,197
3,2,11,low,2,b,1,3
3,2,11,low,3,a,0,170
3,2,11,low,3,a,1,2
3,2,11,low,3,b,1,27
3,2,11,low,3,b,2,1
3,2,11,low,4,a,0,113
3,2,11,low,4,a,1,15
3,2,11,low,4,a,2,1
3,2,11,low,4,b,1,57
3,2,11,low,4,b,2,14
3,2,11,low,4,b,3,0
3,2,12,high,2,a,0,74
3,2,12,high,2,b,1,126
3,2,12,high,3,a,0,39
3,2,12,high,3,a,1,18
3,2,12,high,3,b,1,38
3,2,12,high,3,b,2,105
3,2,12,high,4,a,0,15
3,2,12,high,4,a,1,21
3,2,12,high,4,a,2,8
3,2,12,high,4,b,1,21
3,2,12,high,4,b,2,35
3,2,12,high,4,b,3,100
3,2,12,low,2,a,0,112
3,2,12,low,2,b,1,88
3,2,12,low,3,a,0,72
3,2,12,low,3,a,1,26
3,2,12,low,3,b,1,40
3,2,12,low,3,b,2,62
3,2,12,low,4,a,0,39
3,2,12,low,4,a,1,24
3,2,12,low,4,a,2,11
3,2,12,low,4,b,1,33
3,2,12,low,4,b,2,42
3,2,12,low,4,b,3,50
3,2,13,high,2,a,0,96
3,2,13,high,2,b,1,104
3,2,13,high,3,a,0,38
3,2,13,high,3,a,1,10
3,2,13,high,3,b,1,58
3,2,13,high,3,b,2,94
3,2,13,high,4,a,0,19
3,2,13,high,4,a,1,18
3,2,13,high,4,a,2,9
3,2,13,high,4,b,1,19
3,2,13,high,4,b,2,50
3,2,13,high,4,b,3,85
3,2,13,low,2,a,0,183
3,2,13,low,2,b,1,17
3,2,13,low,3,a,0,156
3,2,13,low,3,a,1,8
3,2,13,low,3,b,1,27
3,2,13,low,3,b,2,9
3,2,13,low,4,a,0,75
3,2,13,low,4,a,1,17
3,2,13,low,4,a,2,4
3,2,13,low,4,b,1,81
3,2,13,low,4,b,2,18
3,2,13,low,4,b,3,5
3,2,14,high,2,a,0,104
3,2,14,high,2,b,1,96
3,2,14,high,3,a,0,61
3,2,14,high,3,a,1,8
3,2,14,high,3,b,1,43
3,2,14,high,3,b,2,88
3,2,14,high,4,a,0,33
3,2,14,high,4,a,1,21
3,2,14,high,4,a,2,18
3,2,14,high,4,b,1,27
3,2,14,high,4,b,2,30
3,2,14,high,4,b,3,71
3,2,14,low,2,a,0,191
3,2,14,low,2,b,1,9
3,2,14,low,3,a,0,157
3,2,14,low,3,a,1,5
3,2,14,low,3,b,1,34
3,2,14,low,3,b,2,4
3,2,14,low,4,a,0,95
3,2,14,low,4,a,1,20
3,2,14,low,4,a,2,0
3,2,14,low,4,b,1,62
3,2,14,low,4,b,2,19
3,2,14,low,4,b,3,4
3,2,15,high,2,a,0,90
3,2,15,high,2,b,1,110
3,2,15,high,3,a,0,36
3,2,15,high,3,a,1,22
3,2,15,high,3,b,1,54
3,2,15,high,3,b,2,88
3,2,15,high,4,a,0,15
3,2,15,high,4,a,1,35
3,2,15,high,4,a,2,15
3,2,15,high,4,b,1,21
3,2,15,high,4,b,2,39
3,2,15,high,4,b,3,75
3,2,15,low,2,a,0,176
3,2,15,low,2,b,1,24
3,2,15,low,3,a,0,148
3,2,15,low,3,a,1,6
3,2,15,low,3,b,1,28
3,2,15,low,3,b,2,18
3,2,15,low,4,a,0,79
3,2,15,low,4,a,1,19
3,2,15,low,4,a,2,4
3,2,15,low,4,b,1,69
3,2,15,low,4,b,2,15
3,2,15,low,4,b,3,14
3,2,16,high,2,a,0,60
3,2,16,high,2,b,1,140
3,2,16,high,3,a,0,22
3,2,16,high,3,a,1,10
3,2,16,high,3,b,1,38
3,2,16,high,3,b,2,130
3,2,16,high,4,a,0,11
3,2,16,high,4,a,1,17
3,2,16,high,4,a,2,17
3,2,16,high,4,b,1,11
3,2,16,high,4,b,2,31
3,2,16,high,4,b,3,113
3,2,16,low,2,a,0,177
3,2,16,low,2,b,1,23
3,2,16,low,3,a,0,149
3,2,16,low,3,a,1,5
3,2,16,low,3,b,1,28
3,2,16,low,3,b,2,18
3,2,16,low,4,a,0,97
3,2,16,low,4,a,1,14
3,2,16,low,4,a,2,8
3,2,16,low,4,b,1,52
3,2,16,low,4,b,2,19
3,2,16,low,4,b,3,10
4,1,1,high,2,a,0,59
4,1,1,high,2,b,1,141
4,1,1,high,3,a,0,18
4,1,1,high,3,a,1,7
4,1,1,high,3,b,1,41
4,1,1,high,3,b,2,134
4,1,1,high,4,a,0,6
4,1,1,high,4,a,1,20
4,1,1,high,4,a,2,17
4,1,1,high,4,b,1,10
4,1,1,high,4,b,2,29
4,1,1,high,4,b,3,118
4,1,1,low,2,a,0,191
4,1,1,low,2,b,1,9
4,1,1,low,3,a,0,177
4,1,1,low,3,a,1,4
4,1,1,low,3,b,1,14
4,1,1,low,3,b,2,5
4,1,1,low,4,a,0,133
4,1,1,low,4,a,1,13
4,1,1,low,4,a,2,3
4,1,1,low,4,b,1,44
4,1,1,low,4,b,2,5
4,1,1,low,4,b,3,2
4,1,2,high,2,a,0,60
4,1,2,high,2,b,1,140
4,1,2,high,3,a,0,15
4,1,2,high,3,a,1,12
4,1,2,high,3,b,1,45
4,1,2,high,3,b,2,128
4,1,2,high,4,a,0,9
4,1,2,high,4,a,1,20
4,1,2,high,4,a,2,20
4,1,2,high,4,b,1,6
4,1,2,high,4,b,2,37
4,1,2,high,4,b,3,108
4,1,2,low,2,a,0,186
4,1,2,low,2,b,1,14
4,1,2,low,3,a,0,141
4,1,2,low,3,a,1,7
4,1,2,low,3,b,1,45
4,1,2,low,3,b,2,7
4,1,2,low,4,a,0,102
4,1,2,low,4,a,1,24
4,1,2,low,4,a,2,0
4,1,2,low,4,b,1,38
4,1,2,low,4,b,2,28
4,1,2,low,4,b,3,6
4,1,3,high,2,a,0,41
4,1,3,high,2,b,1,159
4,1,3,high,3,a,0,26
4,1,3,high,3,a,1,14
4,1,3,high,3,b,1,15
4,1,3,high,3,b,2,145
4,1,3,high,4,a,0,13
4,1,3,high,4,a,1,16
4,1,3,high,4,a,2,18
4,1,3,high,4,b,1,13
4,1,3,high,4,b,2,13
4,1,3,high,4,b,3,127
4,1,3,low,2,a,0,195
4,1,3,low,2,b,1,5
4,1,3,low,3,a,0,167
4,1,3,low,3,a,1,4
4,1,3,low,3,b,1,28
4,1,3,low,3,b,2,1
4,1,3,low,4,a,0,103
4,1,3,low,4,a,1,13
4,1,3,low,4,a,2,0
4,1,3,low,4,b,1,64
4,1,3,low,4,b,2,19
4,1,3,low,4,b,3,1
4,1,4,high,2,a,0,53
4,1,4,high,2,b,1,147
4,1,4,high,3,a,0,18
4,1,4,high,3,a,1,5
4,1,4,high,3,b,1,35
4,1,4,high,3,b,2,142
4,1,4,high,4,a,0,9
4,1,4,high,4,a,1,15
4,1,4,high,4,a,2,17
4,1,4,high,4,b,1,9
4,1,4,high,4,b,2,25
4,1,4,high,4,b,3,125
4,1,4,low,2,a,0,171
4,1,4,low,2,b,1,29
4,1,4,low,3,a,0,157
4,1,4,low,3,a,1,24
4,1,4,low,3,b,1,14
4,1,4,low,3,b,2,5
4,1,4,low,4,a,0,65
4,1,4,low,4,a,1,17
4,1,4,low,4,a,2,1
4,1,4,low,4,b,1,92
4,1,4,low,4,b,2,20
4,1,4,low,4,b,3,4
4,1,5,high,2,a,0,80
4,1,5,high,2,b,1,120
4,1,5,high,3,a,0,21
4,1,5,high,3,a,1,10
4,1,5,high,3,b,1,59
4,1,5,high,3,b,2,110
4,1,5,high,4,a,0,8
4,1,5,high,4,a,1,27
4,1,5,high,4,a,2,10
4,1,5,high,4,b,1,13
4,1,5,high,4,b,2,42
4,1,5,high,4,b,3,100
4,1,5,low,2,a,0,181
4,1,5,low,2,b,1,19
4,1,5,low,3,a,0,124
4,1,5,low,3,a,1,10
4,1,5,low,3,b,1,57
4,1,5,low,3,b,2,9
4,1,5,low,4,a,0,87
4,1,5,low,4,a,1,42
4,1,5,low,4,a,2,3
4,1,5,low,4,b,1,39
4,1,5,low,4,b,2,22
4,1,5,low,4,b,3,6
4,1,6,high,2,a,0,63
4,1,6,high,2,b,1,137
4,1,6,high,3,a,0,33
4,1,6,high,3,a,1,14
4,1,6,high,3,b,1,30
4,1,6,high,3,b,2,123
4,1,6,high,4,a,0,23
4,1,6,high,4,a,1,24
4,1,6,high,4,a,2,15
4,1,6,high,4,b,1,8
4,1,6,high,4,b,2,22
4,1,6,high,4,b,3,108
4,1,6,low,2,a,0,186
4,1,6,low,2,b,1,14
4,1,6,low,3,a,0,151
4,1,6,low,3,a,1,10
4,1,6,low,3,b,1,35
4,1,6,low,3,b,2,4
4,1,6,low,4,a,0,64
4,1,6,low,4,a,1,23
4,1,6,low,4,a,2,1
4,1,6,low,4,b,1,50
4,1,6,low,4,b,2,17
4,1,6,low,4,b,3,3
4,1,7,high,2,a,0,56
4,1,7,high,2,b,1,144
4,1,7,high,3,a,0,23
4,1,7,high,3,a,1,18
4,1,7,high,3,b,1,33
4,1,7,high,3,b,2,126
4,1,7,high,4,a,0,10
4,1,7,high,4,a,1,14
4,1,7,high,4,a,2,13
4,1,7,high,4,b,1,11
4,1,7,high,4,b,2,39
4,1,7,high,4,b,3,113
4,1,7,low,2,a,0,199
4,1,7,low,2,b,1,1
4,1,7,low,3,a,0,182
4,1,7,low,3,a,1,1
4,1,7,low,3,b,1,17
4,1,7,low,3,b,2,0
4,1,7,low,4,a,0,129
4,1,7,low,4,a,1,14
4,1,7,low,4,a,2,0
4,1,7,low,4,b,1,52
4,1,7,low,4,b,2,3
4,1,7,low,4,b,3,0
4,1,8,high,2,a,0,54
4,1,8,high,2,b,1,146
4,1,8,high,3,a,0,22
4,1,8,high,3,a,1,15
4,1,8,high,3,b,1,32
4,1,8,high,3,b,2,131
4,1,8,high,4,a,0,7
4,1,8,high,4,a,1,17
4,1,8,high,4,a,2,14
4,1,8,high,4,b,1,13
4,1,8,high,4,b,2,32
4,1,8,high,4,b,3,117
4,1,8,low,2,a,0,194
4,1,8,low,2,b,1,6
4,1,8,low,3,a,0,164
4,1,8,low,3,a,1,3
4,1,8,low,3,b,1,30
4,1,8,low,3,b,2,3
4,1,8,low,4,a,0,106
4,1,8,low,4,a,1,25
4,1,8,low,4,a,2,0
4,1,8,low,4,b,1,57
4,1,8,low,4,b,2,8
4,1,8,low,4,b,3,3
4,2,9,high,2,a,0,75
4,2,9,high,2,b,1,125
4,2,9,high,3,a,0,36
4,2,9,high,3,a,1,19
4,2,9,high,3,b,1,39
4,2,9,high,3,b,2,106
4,2,9,high,4,a,0,24
4,2,9,high,4,a,1,28
4,2,9,high,4,a,2,17
4,2,9,high,4,b,1,13
